"","importance","variable"
"sep_opp_1",5.212752553107,"sep_opp_1"
"v_0",4.79541574253435,"v_0"
"sep_opp_3",4.6890847829109,"sep_opp_3"
"sep_team_1",4.59264954173967,"sep_team_1"
"xDepth",4.53857670943372,"xDepth"
"ballApexY",4.52379662736704,"ballApexY"
"disRet",4.51876068420134,"disRet"
"sep_team_2",4.32873227759106,"sep_team_2"
"ballFinalX",4.17395552764988,"ballFinalX"
"launch_angle",3.90167664337431,"launch_angle"
"vz",3.88043699683944,"vz"
"aRet",3.83106288806371,"aRet"
"yRet",3.62076210761041,"yRet"
"voronoi_area",3.58547744331785,"voronoi_area"
"z",3.55596129863647,"z"
"ballApexX",3.37198945598277,"ballApexX"
"vxy",3.3660434920384,"vxy"
"frameId",3.29342477554318,"frameId"
"xLineOfScrimmage",3.25281609528463,"xLineOfScrimmage"
"sRet",3.18931444390275,"sRet"
"ballFinalY",3.16571283005261,"ballFinalY"
"a_team_1",2.90699129847346,"a_team_1"
"apexTime",2.88810752577941,"apexTime"
"s_team_1",2.87211460247621,"s_team_1"
"xRet",2.80247362370818,"xRet"
"s_team_2",2.69581053622879,"s_team_2"
"Humidity",2.62325074412479,"Humidity"
"sep_team_3",2.45282095460616,"sep_team_3"
"quarter",-2.39358941542232,"quarter"
"distanceFromBallApex",2.10449583652979,"distanceFromBallApex"
"s_opp_3",2.03699330894241,"s_opp_3"
"sep_opp_2",2.0328469739377,"sep_opp_2"
"dir_opp_1",1.98448390783267,"dir_opp_1"
"a_team_2",-1.96552304053768,"a_team_2"
"s_opp_1",1.90072647964741,"s_opp_1"
"distanceFromBallFinal",1.89212968176573,"distanceFromBallFinal"
"o_opp_2",1.83699464352562,"o_opp_2"
"timeRemaining",-1.70843954586061,"timeRemaining"
"yardsToGo",-1.69857607188646,"yardsToGo"
"s_team_3",1.56657126650631,"s_team_3"
"numVises",1.4951919142096,"numVises"
"s_opp_2",1.42522652762252,"s_opp_2"
"dir_opp_2",1.3824426350965,"dir_opp_2"
"Temperature",1.34998855327124,"Temperature"
"numRushers",1.23142164883397,"numRushers"
"Pressure",1.07402684041558,"Pressure"
"o_opp_1",1.00391258432865,"o_opp_1"
"dir_opp_3",-0.946243460974768,"dir_opp_3"
"o_opp_3",0.872386372339385,"o_opp_3"
"dir_team_2",0.797238567560982,"dir_team_2"
"pointDiff",-0.751842019409829,"pointDiff"
"o_team_3",-0.668413508749843,"o_team_3"
"dirRet",0.622061225120886,"dirRet"
"a_opp_1",0.590658912470796,"a_opp_1"
"a_team_3",-0.588617398599124,"a_team_3"
"WindSpeed",0.554827309512784,"WindSpeed"
"Precipitation",0.525024358170428,"Precipitation"
"oRet",0.511646871985239,"oRet"
"a_opp_3",-0.422620823106864,"a_opp_3"
"dir_team_1",-0.232336681701746,"dir_team_1"
"dir_team_3",0.177376096437324,"dir_team_3"
"o_team_1",-0.171128981639501,"o_team_1"
"a_opp_2",0.140754305478166,"a_opp_2"
"operationTime",0.134492344519121,"operationTime"
"NewPosition",-0.0238090530811892,"NewPosition"
"o_team_2",0.018082894698251,"o_team_2"
"dirChange",-0.00378841752868439,"dirChange"
"numGunners",0,"numGunners"
